Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
17.71,47.01,4.0012,25.39,24.8,4.1476
17.75,47.01,4.0012,25.55,24.8,4.1476
17.79,46.91,4.0012,25.55,24.8,4.1461
17.84,46.91,3.9836,25.47,24.8,4.1508
17.89,46.94,3.998,25.63,24.8,4.1476
17.93,47.01,4.0012,25.71,24.8,4.1476
17.97,46.96,3.998,25.63,24.8,4.1508
18.01,46.96,4.0012,25.47,24.8,4.1461
18.05,47.01,3.9996,25.55,24.8,4.1445
18.1,46.96,4.0028,25.55,24.8,4.1476
18.14,46.98,4.0012,25.63,24.8,4.1524
18.18,47.03,4.0028,25.47,24.8,4.1429
18.23,46.96,3.9821,25.79,24.8,4.1461
18.27,46.98,4.0091,25.71,24.9,4.1461
18.31,46.94,4.0012,25.71,24.9,4.1476
18.35,46.86,4.0075,25.71,24.9,4.1461
18.39,46.96,4.0107,25.87,24.9,4.1429
18.44,46.98,4.0059,25.71,24.9,4.1492
18.48,46.98,4.0075,25.55,24.9,4.1461
18.52,46.81,3.9996,25.79,24.9,4.1476
18.56,46.94,3.998,25.63,24.9,4.1445
18.61,46.91,3.9789,25.63,24.9,4.1429
18.65,46.89,4.0012,25.71,24.9,4.1492
18.69,46.91,4.0075,25.63,24.9,4.1461
18.74,46.91,4.0043,25.87,24.9,4.1508
18.78,46.86,3.9996,25.71,24.9,4.1445
18.82,46.91,4.0012,25.63,24.9,4.1461
18.86,46.94,4.0043,25.63,24.9,4.1476
18.9,46.91,3.9996,25.87,24.9,4.1461
18.95,46.89,3.998,25.87,24.9,4.1476
18.99,46.96,3.9821,25.71,24.9,4.1461
19.04,46.91,3.9964,25.71,24.9,4.1461
19.08,46.98,4.0028,25.71,24.9,4.1492
19.12,46.91,3.998,25.55,24.9,4.1476
19.16,46.91,3.998,25.79,24.9,4.1461
19.2,46.89,3.9996,25.87,24.9,4.1461
19.25,46.94,4.0091,26.03,24.9,4.1461
19.29,46.84,4.0012,25.95,24.9,4.1445
19.33,46.96,4.0012,25.55,24.9,4.1461
19.38,46.96,3.9805,25.55,24.9,4.1461
19.42,46.94,4.0012,25.95,24.9,4.1492
19.46,46.96,4.0043,25.87,24.9,4.1461
19.5,46.94,4.0012,25.87,24.9,4.1445
19.55,46.98,3.9964,25.79,24.9,4.1492
19.59,46.96,3.998,25.87,24.9,4.1476
19.63,46.91,3.998,26.03,24.9,4.1492
