Time [s], A0
6.8158,478
6.81852,483
6.82124,480
6.823976,482
6.826696,482
6.829432,483
6.83216,485
6.834872,490
6.837608,486
6.840336,489
6.843056,487
6.845784,492
6.848496,491
6.851228,494
6.853952,492
6.856684,489
6.859408,495
6.862136,496
6.864864,500
6.867592,498
6.87032,497
6.873044,499
6.875768,504
6.87848,501
6.8812,501
6.883928,505
6.886656,503
6.889376,506
6.892104,505
6.894836,504
6.897552,507
6.90028,509
6.902992,507
6.90572,510
6.908448,511
6.911176,511
6.913904,512
6.91664,512
6.919352,516
6.922072,512
6.9248,515
6.927512,517
6.930244,519
6.932972,519
6.935696,522
6.93842,521
6.941148,518
6.943876,520
6.946604,524
6.949332,524
6.952052,524
6.95478,525
6.957516,527
6.960244,528
6.962972,527
6.965708,528
6.968436,527
6.971156,521
6.973892,529
6.97662,531
6.97934,532
6.982068,532
6.984788,534
6.987516,533
6.990256,535
6.99298,535
6.9957,535
6.998436,539
7.001164,536
7.003884,538
7.00662,539
7.009344,539
7.012068,538
7.014804,540
7.017528,540
7.020244,540
7.022972,542
7.025704,544
7.028436,544
7.031156,546
7.033888,547
7.036612,546
7.03934,545
7.042072,547
7.044804,551
7.047532,550
7.050272,551
7.052988,551
7.055724,552
7.05844,549
7.061164,553
7.0639,553
7.066632,554
7.069356,557
7.072092,556
7.074824,557
7.077556,557
7.080288,555
7.083016,559
7.08574,558
7.088476,559
7.091196,562
7.093924,561
7.09666,562
7.099388,561
7.102116,564
7.104844,562
7.107572,563
7.110304,564
7.113036,563
7.115764,563
7.118492,566
7.12122,568
7.12394,569
7.126676,568
7.129404,566
7.132124,568
7.13486,569
7.137596,569
7.14032,572
7.143044,571
7.14578,572
7.1485,575
7.151228,573
7.153948,574
7.156676,572
7.159404,574
7.162132,574
7.16486,577
7.167596,581
7.170324,579
7.173052,580
7.17578,575
7.178508,579
7.181224,582
7.183964,581
7.1867,581
7.189428,581
7.192156,582
7.194884,580
7.197612,583
7.20034,588
7.203052,583
7.205772,585
7.2085,583
7.21122,589
7.21394,589
7.216676,587
7.219392,589
7.222108,589
7.224828,589
7.227556,589
7.230288,589
7.233012,590
7.23574,591
7.23846,592
7.241188,592
7.243916,592
7.246636,591
7.249364,593
7.252084,590
7.254812,595
7.257556,597
7.26028,599
7.263004,598
7.265732,597
7.26846,598
7.27118,596
7.273924,600
7.276644,601
7.279372,600
7.2821,602
7.284828,602
7.287556,603
7.290288,602
7.293004,602
7.295732,603
7.298468,607
7.301192,604
7.303916,609
7.306652,608
7.309384,607
7.312108,609
7.314836,607
7.317576,610
7.320312,613
7.323044,611
7.325772,612
7.328492,609
7.331228,611
7.333952,612
7.336684,614
7.339404,612
7.342136,615
7.344868,613
7.347604,615
7.350324,613
7.353044,616
7.35578,613
7.358504,615
7.361228,616
7.363964,618
7.366696,619
7.36942,620
7.372148,621
7.37488,621
7.377612,619
7.38034,621
7.383072,623
7.385796,622
7.388524,625
7.391264,624
7.39398,624
7.396716,625
7.399448,624
7.402172,627
7.4049,620
7.407632,627
7.410356,625
7.413084,627
7.415816,629
7.41854,628
7.421272,626
7.424008,630
7.426732,630
7.42946,628
7.43218,631
7.434916,632
7.437652,631
7.440372,631
7.443092,633
7.44582,632
7.44854,632
7.451272,635
7.453996,637
7.456724,635
7.459452,636
7.462172,638
7.4649,637
7.467636,639
7.470356,637
7.47308,643
7.475824,641
7.478544,640
7.48128,637
7.484,641
7.486732,639
7.489456,643
7.492192,644
7.49492,645
7.49764,645
7.50036,647
7.50308,645
7.505808,647
7.508552,647
7.511284,646
7.514012,648
7.516736,648
7.519464,655
7.522184,649
7.524912,649
7.52764,650
7.53036,652
7.533088,648
7.535808,652
7.538528,654
7.541264,653
7.543992,654
7.54672,652
7.549444,654
7.552168,652
7.554888,657
7.557624,659
7.560344,657
7.563064,658
7.565792,656
7.568512,657
7.571236,659
7.573968,660
7.576688,663
7.579408,662
7.582128,661
7.58486,664
7.587588,661
7.59032,663
7.593048,664
7.59578,664
7.598504,666
7.601224,665
7.603952,662
7.606688,666
7.609416,664
7.61214,669
7.614864,670
7.617592,667
7.62032,669
7.62304,671
7.625776,670
7.628496,674
7.631216,671
7.633952,672
7.636676,671
7.6394,672
7.642128,672
7.64486,673
7.647592,675
7.650324,676
7.65304,674
7.655768,676
7.658488,677
7.661216,681
7.663952,679
7.66668,680
7.669408,680
7.672136,681
7.674864,682
7.6776,683
7.680332,681
7.683032,684
7.68576,687
7.688488,696
7.691208,684
7.693944,684
7.696664,688
7.699384,687
7.702104,687
7.704832,687
7.70756,690
7.710296,688
7.713016,683
7.715744,688
7.718472,689
7.721192,691
7.72392,690
7.726648,693
7.729376,691
7.732104,694
7.734836,694
7.737564,694
7.74028,694
7.743,696
7.745728,695
7.748448,696
7.751176,694
