seconds, T0, T1, T2, T3, T4, T5, BAT, 
6.210, 25.093, 26.526, 25.889, 26.287, 25.411, 25.252, 4.1779, 
6.218, 24.934, 26.366, 25.809, 26.128, 25.809, 25.093, 4.1795, 
6.226, 24.934, 26.366, 25.730, 25.889, 25.809, 24.934, 4.1763, 
6.235, 25.252, 26.446, 25.969, 26.048, 25.571, 25.013, 4.1763, 
6.243, 25.173, 26.207, 26.128, 26.128, 25.889, 24.854, 4.1779, 
6.251, 25.013, 26.446, 26.128, 26.128, 25.889, 25.093, 4.1827, 
6.265, 25.173, 26.605, 25.889, 25.809, 25.889, 24.775, 4.1779, 
6.274, 25.093, 26.446, 25.809, 25.969, 25.809, 25.173, 4.1763, 
6.282, 25.013, 26.446, 25.969, 25.889, 25.889, 24.695, 4.1763, 
6.290, 25.252, 26.366, 25.809, 25.969, 25.650, 25.093, 4.1779, 
6.299, 24.934, 26.287, 25.809, 26.207, 25.889, 25.252, 4.1827, 
6.307, 25.013, 26.605, 25.969, 26.128, 25.730, 25.013, 4.1779, 
6.315, 25.013, 26.446, 25.969, 25.889, 25.889, 25.013, 4.1795, 
6.324, 25.013, 26.605, 25.730, 25.889, 25.730, 25.332, 4.1779, 
6.338, 25.252, 26.526, 26.526, 25.650, 25.889, 25.013, 4.1795, 
6.346, 25.252, 26.526, 25.889, 26.526, 25.571, 25.093, 4.1795, 
6.354, 25.093, 26.526, 26.207, 26.048, 25.730, 25.173, 4.1747, 
6.363, 25.730, 26.366, 25.809, 26.048, 25.889, 24.934, 4.1763, 
6.371, 25.173, 26.526, 25.889, 26.128, 25.730, 25.093, 4.1795, 
6.379, 25.173, 26.446, 25.889, 25.889, 25.650, 25.252, 4.1715, 
6.388, 25.332, 26.287, 26.048, 26.207, 25.650, 25.013, 4.1747, 
6.396, 25.252, 26.685, 26.207, 25.809, 25.730, 25.093, 4.1763, 
6.410, 24.934, 26.366, 25.969, 26.128, 25.809, 25.093, 4.1763, 
6.418, 25.252, 26.446, 25.889, 25.969, 25.650, 24.934, 4.1731, 
6.427, 25.332, 26.526, 26.048, 26.048, 25.730, 25.013, 4.1779, 
6.435, 25.013, 26.605, 25.809, 25.889, 25.730, 25.173, 4.1811, 
6.443, 25.173, 26.287, 25.969, 25.969, 25.809, 25.093, 4.1763, 
6.452, 25.173, 26.685, 25.730, 26.366, 25.730, 25.093, 4.1747, 
6.460, 25.252, 26.287, 25.809, 25.730, 25.650, 25.013, 4.1763, 
6.468, 25.491, 26.446, 26.048, 25.889, 25.491, 24.934, 4.1731, 
6.482, 24.854, 26.287, 26.128, 26.128, 25.730, 25.332, 4.1747, 
6.491, 25.252, 26.685, 25.809, 25.650, 25.491, 24.934, 4.1747, 
6.499, 25.093, 26.605, 25.889, 26.128, 26.048, 25.173, 4.1747, 
6.508, 25.173, 26.446, 25.809, 26.048, 25.889, 25.252, 4.1795, 
6.516, 25.093, 26.446, 25.809, 25.809, 25.650, 25.093, 4.1795, 
6.524, 24.934, 26.446, 25.809, 25.809, 25.889, 25.252, 4.1763, 
6.533, 25.093, 26.526, 26.128, 26.207, 25.730, 25.252, 4.1763, 
6.541, 25.173, 26.287, 26.446, 25.809, 25.650, 25.093, 4.1747, 
6.555, 25.093, 26.446, 25.969, 26.287, 25.730, 25.013, 4.1827, 
6.563, 24.934, 26.287, 25.889, 26.128, 25.730, 24.934, 4.1811, 
6.572, 25.173, 26.366, 26.048, 26.048, 25.491, 25.252, 4.1747, 
6.580, 25.093, 26.128, 25.650, 26.366, 25.730, 25.411, 4.1747, 
6.588, 25.093, 26.446, 25.969, 26.128, 25.650, 25.013, 4.1779, 
6.597, 25.013, 26.685, 25.969, 26.128, 25.491, 25.411, 4.1811, 
6.605, 24.775, 26.446, 26.446, 26.048, 25.809, 25.093, 4.1731, 
6.619, 24.854, 26.446, 26.128, 25.969, 25.730, 25.093, 4.1747, 
6.627, 25.173, 26.446, 25.809, 26.128, 25.809, 25.093, 4.1811, 
6.636, 24.934, 26.366, 25.730, 26.048, 25.809, 25.013, 4.1731, 
6.644, 25.332, 26.287, 25.969, 25.809, 25.889, 24.934, 4.1795, 
6.652, 25.013, 26.764, 25.969, 26.048, 25.730, 24.934, 4.1715, 
6.661, 24.934, 26.526, 26.048, 25.809, 25.809, 25.013, 4.1731, 
6.669, 25.093, 26.446, 26.048, 25.969, 25.889, 25.252, 4.1795, 
6.677, 24.934, 26.526, 25.889, 25.889, 25.889, 25.173, 4.1811, 
