Time [ms],Time [ms],Test 1,Test 2,Test 3,Test 4,Test 5
504.304,504.304,3.4,1.99,2.22,0.82,
505.756,505.756,3.4,1.99,2.22,0.94,
507.188,507.188,3.51,2.11,2.22,0.94,
508.648,508.648,3.51,2.22,2.22,0.94,
510.084,510.084,3.51,2.22,2.22,0.94,
511.532,511.532,3.63,2.22,2.34,0.94,
512.984,512.984,3.63,2.34,2.34,1.05,
514.416,514.416,3.75,2.34,2.46,1.05,
515.872,515.872,3.75,2.46,2.46,1.05,
517.316,517.316,3.86,2.58,2.46,1.05,
518.752,518.752,3.86,2.58,2.58,0.94,
520.208,520.208,3.86,2.69,2.69,0.94,
521.648,521.648,3.98,2.81,2.69,0.94,
523.092,523.092,3.98,2.81,2.81,0.94,
524.536,524.536,3.98,2.93,2.81,0.82,
525.976,525.976,3.98,3.04,2.93,0.82,
527.428,527.428,4.1,3.04,2.93,0.82,
528.872,528.872,4.1,3.16,3.04,0.82,
530.316,530.316,4.1,3.16,3.04,0.7,
531.76,531.76,4.1,3.28,3.16,0.59,
533.212,533.212,4.1,3.28,3.16,0.59,
534.648,534.648,4.1,3.28,3.28,0.59,
536.096,536.096,4.1,3.4,3.28,0.59,
537.54,537.54,4.1,3.4,3.4,0.59,
538.984,538.984,4.1,3.4,3.4,0.59,
540.436,540.436,4.1,3.51,3.4,0.59,
541.872,541.872,3.98,3.4,3.51,0.59,
543.32,543.32,3.98,3.51,3.51,0.59,
544.772,544.772,3.98,3.51,3.51,0.59,
546.208,546.208,3.98,3.51,3.51,0.59,
547.66,547.66,3.86,3.51,3.51,0.59,
549.096,549.096,3.86,3.51,3.51,0.59,
550.544,550.544,3.86,3.4,3.4,0.59,
552,552,3.75,3.4,3.4,0.59,
553.436,553.436,3.75,3.4,3.4,0.59,
554.888,554.888,3.75,3.4,3.28,0.7,
556.332,556.332,3.63,3.28,3.28,0.7,
557.776,557.776,3.63,3.28,3.28,0.82,
559.216,559.216,3.51,3.16,3.16,0.82,
560.66,560.66,3.4,3.16,3.16,0.82,
562.108,562.108,3.4,3.04,3.04,0.82,
563.548,563.548,3.4,3.04,3.04,0.94,
564.996,564.996,3.28,2.93,2.93,0.94,
566.44,566.44,3.28,2.93,2.93,0.94,
567.888,567.888,3.28,2.81,2.81,0.94,
569.336,569.336,3.28,2.69,2.69,0.94,
570.776,570.776,3.16,2.69,2.69,0.94,
572.224,572.224,3.04,2.58,2.58,0.94,
573.66,573.66,3.04,2.58,2.58,0.94,
575.108,575.108,3.04,2.46,2.58,0.94,
576.552,576.552,2.93,2.46,2.46,0.94,
578,578,2.93,2.34,2.34,0.94,
579.456,579.456,2.93,2.22,2.34,0.94,
580.888,580.888,3.04,2.22,2.34,0.82,
582.336,582.336,2.81,2.22,2.34,0.82,
583.784,583.784,2.81,2.11,2.34,0.82,
585.224,585.224,2.81,2.11,2.22,0.7,
586.68,586.68,2.81,2.11,2.34,0.82,
