,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
256,16.49,46.96,4.0043,25.47,24.7,4.1461
257,16.54,46.94,4.0059,25.39,24.7,4.1461
258,16.58,46.98,3.9996,25.39,24.7,4.1476
259,16.63,46.96,3.9821,25.15,24.7,4.1445
260,16.67,47.01,3.998,25.23,24.7,4.1413
261,16.71,46.98,4.0059,25.47,24.7,4.1429
262,16.75,46.94,3.9932,25.39,24.7,4.1445
263,16.79,47.03,4.0059,25.07,24.7,4.1397
264,16.84,47.08,4.0043,25.47,24.7,4.1492
265,16.88,47.03,3.9996,25.55,24.7,4.1476
266,16.92,47.06,4.0043,25.39,24.7,4.1492
267,16.96,47.03,3.9996,25.15,24.7,4.1492
268,17.01,46.96,4.0028,25.47,24.7,4.1445
269,17.07,47.01,3.9805,25.23,24.7,4.1461
270,17.12,46.98,3.9836,25.23,24.8,4.1413
271,17.16,46.96,3.9805,25.23,24.8,4.1445
272,17.2,47.01,3.9836,25.39,24.8,4.1492
273,17.24,46.96,3.9773,25.31,24.8,4.1445
274,17.28,46.98,3.9868,25.39,24.8,4.1461
275,17.33,46.98,3.9821,25.55,24.8,4.1445
276,17.37,46.94,3.9805,25.63,24.8,4.1413
277,17.42,47.03,3.9805,25.31,24.8,4.1445
278,17.46,46.94,3.9773,25.23,24.8,4.1445
279,17.5,46.96,4.0028,25.63,24.8,4.1476
280,17.54,46.94,4.0059,25.39,24.8,4.1461
281,17.58,46.96,4.0075,25.55,24.8,4.1461
282,17.63,46.91,4.0028,25.31,24.8,4.1461
283,17.67,46.94,3.9996,25.31,24.8,4.1429
284,17.71,47.01,4.0012,25.39,24.8,4.1476
285,17.75,47.01,4.0012,25.55,24.8,4.1476
286,17.79,46.91,4.0012,25.55,24.8,4.1461
287,17.84,46.91,3.9836,25.47,24.8,4.1508
288,17.89,46.94,3.998,25.63,24.8,4.1476
289,17.93,47.01,4.0012,25.71,24.8,4.1476
290,17.97,46.96,3.998,25.63,24.8,4.1508
291,18.01,46.96,4.0012,25.47,24.8,4.1461
292,18.05,47.01,3.9996,25.55,24.8,4.1445
293,18.1,46.96,4.0028,25.55,24.8,4.1476
294,18.14,46.98,4.0012,25.63,24.8,4.1524
295,18.18,47.03,4.0028,25.47,24.8,4.1429
296,18.23,46.96,3.9821,25.79,24.8,4.1461
297,18.27,46.98,4.0091,25.71,24.9,4.1461
298,18.31,46.94,4.0012,25.71,24.9,4.1476
299,18.35,46.86,4.0075,25.71,24.9,4.1461
300,18.39,46.96,4.0107,25.87,24.9,4.1429
301,18.44,46.98,4.0059,25.71,24.9,4.1492
302,18.48,46.98,4.0075,25.55,24.9,4.1461
303,18.52,46.81,3.9996,25.79,24.9,4.1476
304,18.56,46.94,3.998,25.63,24.9,4.1445
305,18.61,46.91,3.9789,25.63,24.9,4.1429
306,18.65,46.89,4.0012,25.71,24.9,4.1492
307,18.69,46.91,4.0075,25.63,24.9,4.1461
308,18.74,46.91,4.0043,25.87,24.9,4.1508
309,18.78,46.86,3.9996,25.71,24.9,4.1445
310,18.82,46.91,4.0012,25.63,24.9,4.1461
311,18.86,46.94,4.0043,25.63,24.9,4.1476
312,18.9,46.91,3.9996,25.87,24.9,4.1461
313,18.95,46.89,3.998,25.87,24.9,4.1476
314,18.99,46.96,3.9821,25.71,24.9,4.1461
315,19.04,46.91,3.9964,25.71,24.9,4.1461
316,19.08,46.98,4.0028,25.71,24.9,4.1492
317,19.12,46.91,3.998,25.55,24.9,4.1476
318,19.16,46.91,3.998,25.79,24.9,4.1461
319,19.2,46.89,3.9996,25.87,24.9,4.1461
320,19.25,46.94,4.0091,26.03,24.9,4.1461
321,19.29,46.84,4.0012,25.95,24.9,4.1445
322,19.33,46.96,4.0012,25.55,24.9,4.1461
323,19.38,46.96,3.9805,25.55,24.9,4.1461
324,19.42,46.94,4.0012,25.95,24.9,4.1492
325,19.46,46.96,4.0043,25.87,24.9,4.1461
326,19.5,46.94,4.0012,25.87,24.9,4.1445
327,19.55,46.98,3.9964,25.79,24.9,4.1492
328,19.59,46.96,3.998,25.87,24.9,4.1476
329,19.63,46.91,3.998,26.03,24.9,4.1492
330,19.67,46.89,3.998,25.79,24.9,4.1461
331,19.71,46.91,4.0059,25.87,24.9,4.1508
332,19.76,46.91,4.0028,25.79,24.9,4.1476
